Open,High,Low,Close,Adj Close,Volume
186.0399932861328,186.88999938964844,186.00999450683594,186.47999572753906,186.47999572753906,1432745
186.48500061035156,186.48500061035156,185.8699951171875,186.2100067138672,186.2100067138672,11488
186.1199951171875,186.19000244140625,185.35000610351562,185.35000610351562,185.35000610351562,19911
185.30999755859375,185.75,185.24000549316406,185.49000549316406,185.49000549316406,22416
185.53500366210938,185.91000366210938,185.4199981689453,185.44000244140625,185.44000244140625,8595
185.7899932861328,185.7899932861328,185.5,185.66000366210938,185.66000366210938,8010
185.4600067138672,185.8000030517578,185.4600067138672,185.78570556640625,185.78570556640625,6670
185.8000030517578,186.47999572753906,185.8000030517578,186.34500122070312,186.34500122070312,12012
186.34109497070312,186.4499969482422,186.17999267578125,186.3699951171875,186.3699951171875,14499
186.3800048828125,187.02000427246094,186.2100067138672,186.97999572753906,186.97999572753906,14572
186.92909240722656,186.92909240722656,186.61000061035156,186.71499633789062,186.71499633789062,15667
186.8000030517578,186.86000061035156,186.22999572753906,186.30999755859375,186.30999755859375,10258
186.38999938964844,186.4600067138672,185.91000366210938,186.0,186.0,22577
185.8800048828125,186.1300048828125,185.75,186.1199951171875,186.1199951171875,15695
186.1300048828125,186.3699951171875,186.1300048828125,186.1815948486328,186.1815948486328,15739
186.22999572753906,186.25,185.80999755859375,185.8300018310547,185.8300018310547,7766
185.8249969482422,185.89999389648438,185.47999572753906,185.5399932861328,185.5399932861328,8519
185.5800018310547,185.9499969482422,185.3300018310547,185.9499969482422,185.9499969482422,44461
185.94000244140625,186.22540283203125,185.94000244140625,186.00999450683594,186.00999450683594,10421
186.00999450683594,186.0800018310547,185.92999267578125,185.97999572753906,185.97999572753906,9131
186.05499267578125,186.11000061035156,185.77000427246094,185.86000061035156,185.86000061035156,9031
185.77000427246094,185.89999389648438,185.66000366210938,185.7899932861328,185.7899932861328,5088
185.85000610351562,185.97999572753906,185.85000610351562,185.92999267578125,185.92999267578125,9074
185.9250030517578,186.0399932861328,185.66000366210938,185.66000366210938,185.66000366210938,10688
185.7100067138672,186.11000061035156,185.6999969482422,185.9499969482422,185.9499969482422,60991
185.94000244140625,186.0,185.83999633789062,185.97500610351562,185.97500610351562,18491
185.9250030517578,186.25999450683594,185.9250030517578,186.11000061035156,186.11000061035156,12167
186.1999969482422,186.5,186.11000061035156,186.5,186.5,19706
186.5500030517578,186.7899932861328,186.3699951171875,186.71279907226562,186.71279907226562,8670
186.8000030517578,186.9600067138672,186.67999267578125,186.74000549316406,186.74000549316406,18087
186.77999877929688,187.38499450683594,186.77000427246094,187.25999450683594,187.25999450683594,19591
187.30999755859375,187.49000549316406,187.07000732421875,187.47000122070312,187.47000122070312,19390
187.49000549316406,187.52999877929688,187.2100067138672,187.39999389648438,187.39999389648438,20922
187.50999450683594,187.50999450683594,187.3300018310547,187.38999938964844,187.38999938964844,6670
187.38999938964844,187.63999938964844,187.3000030517578,187.63999938964844,187.63999938964844,10674
187.66000366210938,187.66000366210938,187.27999877929688,187.27999877929688,187.27999877929688,9388
187.3350067138672,187.44000244140625,187.1999969482422,187.38999938964844,187.38999938964844,12386
187.3000946044922,187.3800048828125,187.2100067138672,187.25999450683594,187.25999450683594,13167
187.2801055908203,187.3800048828125,187.22000122070312,187.25999450683594,187.25999450683594,16553
187.24000549316406,187.32000732421875,187.02000427246094,187.23179626464844,187.23179626464844,8649
187.17999267578125,187.1999969482422,187.0800018310547,187.15499877929688,187.15499877929688,7082
187.1199951171875,187.19500732421875,186.83999633789062,187.125,187.125,9031
187.02999877929688,187.14999389648438,186.91380310058594,187.0908966064453,187.0908966064453,8998
186.97999572753906,187.2100067138672,186.9499969482422,187.0449981689453,187.0449981689453,10540
187.0749969482422,187.0749969482422,186.86000061035156,186.97500610351562,186.97500610351562,13103
186.99000549316406,187.02000427246094,186.8300018310547,186.88999938964844,186.88999938964844,8418
186.86000061035156,187.0800018310547,186.80999755859375,186.80999755859375,186.80999755859375,5991
186.8350067138672,186.97999572753906,186.7100067138672,186.75,186.75,19278
186.74000549316406,186.74000549316406,186.5500030517578,186.61500549316406,186.61500549316406,12207
186.5500030517578,186.56019592285156,186.20010375976562,186.36500549316406,186.36500549316406,11589
186.44000244140625,186.44000244140625,186.25,186.35470581054688,186.35470581054688,10028
186.33999633789062,186.39999389648438,186.24000549316406,186.24009704589844,186.24009704589844,4478
186.25999450683594,186.36000061035156,186.13499450683594,186.25999450683594,186.25999450683594,9505
186.2100067138672,186.25,186.0800018310547,186.25,186.25,7077
186.25,186.25999450683594,185.92999267578125,186.02000427246094,186.02000427246094,14744
186.00999450683594,186.1741943359375,185.9600067138672,186.09500122070312,186.09500122070312,7658
186.07000732421875,186.0800018310547,185.69000244140625,185.7100067138672,185.7100067138672,19242
185.7100067138672,185.99000549316406,185.5800018310547,185.8800048828125,185.8800048828125,11518
185.86000061035156,186.17999267578125,185.8300018310547,186.15499877929688,186.15499877929688,8714
186.1199951171875,186.2209930419922,186.05999755859375,186.11500549316406,186.11500549316406,12885
186.1199951171875,186.25,186.02000427246094,186.02999877929688,186.02999877929688,19847
185.99000549316406,186.0800018310547,185.91000366210938,185.91000366210938,185.91000366210938,12488
185.91000366210938,186.05999755859375,185.61000061035156,185.72000122070312,185.72000122070312,17839
185.69000244140625,185.7899932861328,185.4600067138672,185.52999877929688,185.52999877929688,17813
185.49000549316406,185.51339721679688,185.3000030517578,185.3699951171875,185.3699951171875,31704
185.33999633789062,185.4199981689453,185.02999877929688,185.1300048828125,185.1300048828125,29114
