Open,High,Low,Close,Adj Close,Volume
184.51499938964844,185.39999389648438,184.26010131835938,185.27499389648438,185.27499389648438,5374463
185.28500366210938,185.58999633789062,184.9499969482422,185.3249969482422,185.3249969482422,655249
185.2899932861328,186.2198944091797,185.0771026611328,185.11990356445312,185.11990356445312,847800
185.09500122070312,185.30999755859375,184.39999389648438,184.86000061035156,184.86000061035156,628334
184.85499572753906,185.0500030517578,183.88999938964844,183.9700927734375,183.9700927734375,677103
184.02999877929688,184.1199951171875,183.19000244140625,183.42999267578125,183.42999267578125,652915
183.4427947998047,184.2899932861328,183.24099731445312,184.2100067138672,184.2100067138672,599963
184.17010498046875,184.5500030517578,183.75,183.97999572753906,183.97999572753906,537366
183.99319458007812,184.16990661621094,183.61000061035156,183.6300048828125,183.6300048828125,390436
183.64500427246094,184.55999755859375,183.57000732421875,184.4499969482422,184.4499969482422,583329
184.47340393066406,184.5500030517578,184.1300048828125,184.1750030517578,184.1750030517578,499231
184.1699981689453,184.3249969482422,183.69000244140625,183.9499053955078,183.9499053955078,496670
183.89999389648438,183.92999267578125,183.11000061035156,183.13999938964844,183.13999938964844,648572
183.1300048828125,183.1699981689453,182.7100067138672,183.0218048095703,183.0218048095703,737862
182.97999572753906,183.46749877929688,182.97999572753906,183.3699951171875,183.3699951171875,416264
183.36000061035156,183.42999267578125,182.60000610351562,182.86659240722656,182.86659240722656,508214
182.87440490722656,183.2100067138672,182.75,182.82620239257812,182.82620239257812,377895
182.85000610351562,182.8699951171875,182.3699951171875,182.6750946044922,182.6750946044922,561373
182.6779022216797,183.10000610351562,182.64010620117188,182.86000061035156,182.86000061035156,359645
182.8699951171875,182.95989990234375,182.30999755859375,182.45509338378906,182.45509338378906,381037
182.46200561523438,183.10000610351562,182.4600067138672,182.88999938964844,182.88999938964844,394721
182.8800048828125,183.44000244140625,182.70010375976562,183.139404296875,183.139404296875,458331
183.139892578125,183.285400390625,182.82000732421875,182.99000549316406,182.99000549316406,321464
182.99000549316406,183.1199951171875,182.6300048828125,182.73989868164062,182.73989868164062,352399
182.6999969482422,183.13999938964844,182.63999938964844,182.85000610351562,182.85000610351562,238754
182.86000061035156,183.10000610351562,182.5500030517578,183.0800018310547,183.0800018310547,319282
183.08580017089844,183.48680114746094,183.02999877929688,183.20680236816406,183.20680236816406,394659
183.22000122070312,183.86000061035156,183.16000366210938,183.67999267578125,183.67999267578125,529447
183.6750030517578,183.72999572753906,183.4501953125,183.61000061035156,183.61000061035156,287248
183.61000061035156,183.99020385742188,183.61000061035156,183.91000366210938,183.91000366210938,364445
183.91000366210938,184.54989624023438,183.88999938964844,184.35000610351562,184.35000610351562,762061
184.32000732421875,184.72999572753906,184.32000732421875,184.6746063232422,184.6746063232422,608085
184.6699981689453,184.89999389648438,184.4300994873047,184.64500427246094,184.64500427246094,488124
184.6217041015625,184.75,184.3800048828125,184.6378936767578,184.6378936767578,453695
184.63009643554688,184.8300018310547,184.22999572753906,184.38999938964844,184.38999938964844,529073
184.39999389648438,184.5,184.01370239257812,184.2100067138672,184.2100067138672,387273
184.1999969482422,184.39999389648438,183.94000244140625,184.08999633789062,184.08999633789062,294778
184.10000610351562,184.1699981689453,183.6999969482422,183.77000427246094,183.77000427246094,350780
183.75,183.8220977783203,183.50999450683594,183.62010192871094,183.62010192871094,352486
183.6479949951172,183.64999389648438,183.04010009765625,183.10130310058594,183.10130310058594,381666
183.1300048828125,183.3000030517578,182.85000610351562,183.28500366210938,183.28500366210938,502529
183.27999877929688,183.3800048828125,182.97000122070312,183.11000061035156,183.11000061035156,330933
183.08749389648438,183.1199951171875,182.75999450683594,182.7863006591797,182.7863006591797,385917
182.7624969482422,183.10000610351562,182.75,182.947998046875,182.947998046875,280882
182.97999572753906,183.14630126953125,182.86000061035156,182.9499969482422,182.9499969482422,338610
182.9499053955078,183.1217041015625,182.6300048828125,182.82000732421875,182.82000732421875,384296
182.85000610351562,183.14999389648438,182.7899932861328,182.83200073242188,182.83200073242188,356511
182.83999633789062,183.3699951171875,182.75999450683594,182.9949951171875,182.9949951171875,469631
183.0,183.0,182.39999389648438,182.4600067138672,182.4600067138672,637047
182.47000122070312,182.5,182.0,182.0500030517578,182.0500030517578,650120
182.02999877929688,182.3699951171875,182.0200958251953,182.3426055908203,182.3426055908203,347992
182.36000061035156,182.41000366210938,182.05999755859375,182.1800994873047,182.1800994873047,333462
182.17999267578125,182.39199829101562,182.02000427246094,182.0699005126953,182.0699005126953,331042
182.0399932861328,182.14999389648438,181.69000244140625,181.7335968017578,181.7335968017578,751104
181.75,181.75120544433594,181.41000366210938,181.61000061035156,181.61000061035156,499833
181.66990661621094,181.9199981689453,181.5500030517578,181.77000427246094,181.77000427246094,443353
181.74000549316406,181.77000427246094,180.8800048828125,180.9499969482422,180.9499969482422,831910
180.94839477539062,181.35000610351562,180.75,181.1999053955078,181.1999053955078,613207
181.1800994873047,181.25999450683594,180.8699951171875,181.14999389648438,181.14999389648438,437985
181.15989685058594,181.22000122070312,180.86000061035156,180.90989685058594,180.90989685058594,384871
180.91000366210938,181.34970092773438,180.8699951171875,181.16000366210938,181.16000366210938,466065
181.1699981689453,181.4600067138672,181.0,181.04150390625,181.04150390625,355976
181.0500030517578,181.27999877929688,180.85000610351562,180.8751983642578,180.8751983642578,335134
180.89999389648438,181.25,180.64999389648438,180.87010192871094,180.87010192871094,558315
180.875,180.89979553222656,180.10000610351562,180.2050018310547,180.2050018310547,711050
180.2100067138672,180.3000030517578,179.74000549316406,179.74000549316406,179.74000549316406,950577
